"","values.global_bins."
"FHK","3062"
"FHL","4951.5"
"FHM","3320.5"
"FHN","181.5"
"FHO","(19)"
"FHP","4477.5"
"FHQ","2831.5"
"FHR","3874.5"
"FHS","2282.5"
"FHT","3149.5"
"FHU","2255.5"
"FHV","1780"
"FHW","2055"
"FHX","2982"
"FHY","2722.5"
"FHZ","2779"
"FI","2417.5"
"FIJ","2897"
"FIK","14.55"
"FIL","115.75"
"FIM","3222.5"
"FIN","2342.5"
"FIO","3707.5"
"FIP","1895.5"
"FIQ","3271"
"FIR","2946"
"FIS","2810"
"FIT","4022.5"
"FIU","1704"
"FIV","3614.5"
"FIW","210.5"
"FIX","2047"
"FIY","191"
"FIZ","3435"
"FJ","2475"
"FJK","13.65"
"FJL","2825"
"FJM","(22)"
"FJN","4125"
"FJO","3506"
"FJP","(20)"
"FJQ","3496.5"
"FJR","3167.5"
"FJS","347"
"FJT","3341"
"FJU","1866"
"FJV","3087.5"
"FJW","4150"
"FJX","2239.5"
"FJY","(25)"
"FJZ","3380"
"FK","112"
"FKL","3441"
"FKM","3087"
"FKN","4025.5"
"FKO","2621.5"
"FKP","1875"
"FKQ","3934"
"FKR","12.95"
"FKS","4397"
"FKT","3603.5"
"FKU","4064"
"FKV","2923.5"
"FKW","(73)"
"FKX","4174.5"
"FKY","2627"
"FKZ","4350"
"FL","95"
"FLM","4111.5"
"FLN","2237"
"FLO","4539.5"
"FLP","1926"
"FLQ","1941"
"FLR","2688"
"FLS","2304.5"
"FLT","3607"
"FLU","188"
"FLV","4567.5"
"FLW","3895.5"
"FLX","12.7"
"FLY","4280"
"FLZ","2909"
"FM","4725"
"FMN","3121"
"FMO","2547.5"
"FMP","3347.5"
"FMQ","2674"
"FMR","3289.5"
"FMS","3650.5"
"FMT","3519"
"FMU","2607.5"
"FMV","2272"
"FMW","2528"
"FMX","4787"
"FMY","3799"
"FMZ","4374"
"FN","4469"
"FNO","246"
"FNP","2578.5"
"FNQ","2565.5"
"FNR","3860"
"FNS","1851.5"
"FNT","3993"
"FNU","1766.5"
"FNV","3421.5"
"FNW","2615.5"
"FNX","370.5"
"FNY","247"
"FNZ","2794.5"
"FO","3758"
"FOP","4148.5"
"FOQ","3295"
"FOR","2132.5"
"FOS","4255.5"
"FOT","2638"
"FOU","3120"
"FOV","2216.5"
"FOW","2169"
"FOX","3749.5"
"FOY","4154.5"
"FOZ","2781"
"FP","3632"
"FPQ","1974"
"FPR","2255"
"FPS","1777.5"
"FPT","4384"
"FPU","12.15"
"FPV","3460"
"FPW","4379"
"FPX","2335"
"FPY","2581"
"FPZ","3997.5"
"FQ","2711.5"
"FQR","3702"
"FQS","2715"
"FQT","4095"
"FQU","4448.5"
"FQV","4388.5"
"FQW","4244"
"FQX","2990"
"FQY","2167.5"
"FQZ","2205"
"FR","241"
"FRS","3301"
"FRT","1835.5"
"FRU","2919"
"FRV","2127.5"
"FRW","3685"
"FRX","(59)"
"FRY","1995.5"
"FRZ","3667.5"
"FS","14.25"
"FST","(18)"
"FSU","379.5"
"FSV","2928.5"
"FSW","2118.5"
"FSX","4399"
"FSY","4126"
"FSZ","3182.5"
"FT","395"
"FTU","2266.5"
"FTV","1946"
"FTW","2095"
"FTX","3295.5"
"FTY","(80)"
"FTZ","2517.5"
"FU","2238"
"FUV","2199"
"FUW","280"
"FUX","4693"
"FUY","1915"
"FUZ","2032.5"
"FV","2683"
"FVW","3068"
"FVX","3121.5"
"FVY","4060"
"FVZ","22.75"
"FW","2310.5"
"FWX","3585.5"
"FWY","4329.5"
"FWZ","3971"
"FX","80"
"FXY","3241.5"
"FXZ","4337.5"
"FY","73.5"
"FYZ","3409.5"
"FZ","92"
"G","16.7"
"GH","85.5"
"GHI","21.45"
"GHJ","(61)"
"GHK","3965.5"
"GHL","3897.5"
"GHM","20.5"
"GHN","3070.5"
"GHO","2119"
"GHP","4319"
"GHQ","2588"
"GHR","3423.5"
"GHS","150"
"GHT","2530"
"GHU","3751"
"GHV","1965"
"GHW","3425"
"GHX","2099"
"GHY","2652.5"
"GHZ","2163.5"
"GI","2032"
"GIJ","2185"
"GIK","3434"
"GIL","2616"
"GIM","1897.5"
"GIN","2488"
"GIO","3060.5"
"GIP","1947.5"
"GIQ","4037.5"
"GIR","175.5"
"GIS","3675.5"
"GIT","2658"
"GIU","2267.5"
"GIV","2803.5"
"GIW","3392.5"
"GIX","4218"
"GIY","4843"
"GIZ","3317.5"
"GJ","99"
"GJK","(70)"
"GJL","4401"
"GJM","3552"
"GJN","4016"
"GJO","189"
"GJP","2390"
"GJQ","3661.5"
"GJR","4361.5"
"GJS","3974"
"GJT","2909.5"
"GJU","2697"
"GJV","4691"
"GJW","4505.5"
"GJX","11.85"
"GJY","2015"
"GJZ","19.2"
"GK","228.5"
"GKL","3934.5"
"GKM","4356.5"
"GKN","(12)"
"GKO","2862.5"
"GKP","1970"
"GKQ","3587.5"
"GKR","4408"
"GKS","2226.5"
"GKT","2239"
"GKU","3807.5"
"GKV","2144"
"GKW","11.9"
"GKX","19.7"
"GKY","2859.5"
"GKZ","2573.5"
"GL","1.5"
"GLM","2553"
"GLN","2059.5"
"GLO","2804"
"GLP","2737.5"
"GLQ","3695"
"GLR","447"
"GLS","3127"
"GLT","3841"
"GLU","2004.5"
"GLV","3835"
"GLW","2271"
"GLX","2723"
"GLY","4715.5"
"GLZ","3405"
"GM","103.5"
"GMN","3426"
"GMO","4472.5"
"GMP","2122.5"
"GMQ","2632.5"
"GMR","2187"
"GMS","202"
"GMT","2930"
"GMU","2991.5"
"GMV","2557.5"
"GMW","3267"
"GMX","2949"
"GMY","4688.5"
"GMZ","2102.5"
"GN","85"
"GNO","3603"
"GNP","2583.5"
"GNQ","3237.5"
"GNR","1977.5"
"GNS","3130.5"
"GNT","4070"
"GNU","3107.5"
"GNV","4105.5"
"GNW","3123.5"
"GNX","2557"
"GNY","3754.5"
"GNZ","3620"
"GO","157"
"GOP","2935"
"GOQ","2586"
"GOR","2509.5"
"GOS","1992.5"
"GOT","3416"
"GOU","4439"
"GOV","3668"
"GOW","3792.5"
"GOX","4382.5"
"GOY","3191.5"
"GOZ","4337"
"GP","180.5"
"GPQ","2193"
"GPR","3386"
"GPS","2405.5"
"GPT","3371.5"
"GPU","2200.5"
"GPV","4441.5"
"GPW","4568"
"GPX","197"
"GPY","4430.5"
"GPZ","2014"
"GQ","13.5"
"GQR","3791"
"GQS","4145.5"
"GR","3664"
"GS","3385"
"GT","3888.5"
"GU","303.5"
"GV","87.5"
"GW","3097.5"
"GX","2880"
"GY","2"
"GZ","199"
"H","(29)"
"HI","215.5"
"HJ","212.5"
"HK","119"
"HL","3094.5"
"HM","109"
"HN","126"
"HO","1963.5"
"HP","17.25"
"HQ","120.5"
"HR","15.35"
"HS","101"
"HT","17.1"
"HU","3996"
"HV","2749.5"
"HW","3431"
"HX","4347"
"HY","4032.5"
"HZ","237.5"
"I","11.5"
"IJ","18.5"
"IK","19.4"
"IL","17.15"
"IM","2228"
"IN","3.5"
"IO","20.1"
"IP","128.5"
"IQ","16.65"
"IR","1975"
"IS","13.75"
"IT","3165.5"
"IU","2753"
"IV","311.5"
"IW","4727"
"IX","75"
"IY","329"
"IZ","3928"
"J","311"
"JK","77"
"JL","20.7"
"JM","16.1"
"JN","108.5"
"JO","109.5"
"JP","15.75"
"JQ","2253.5"
"JR","72"
"JS","3247.5"
"JT","281"
"JU","4316.5"
"JV","4848.5"
"JW","70.5"
"JX","231.5"
"JY","2913.5"
"JZ","20.6"
"K","(24)"
"KL","2630"
"KM","2461.5"
"KN","102"
"KO","15.25"
"KP","91"
"KQ","124"
"KR","186.5"
"KS","350.5"
"KT","3642.5"
"KU","18.85"
"KV","3530"
"KW","261"
"KX","10.5"
"KY","17.7"
"KZ","116.5"
"L","(42)"
"LM","2300"
"LN","240.5"
"LO","107"
"LP","15.2"
"LQ","136"
"LR","2221"
"LS","332"
"LT","16.2"
"LU","91.5"
"LV","124.5"
"LW","131"
"LX","88.5"
"LY","2354.5"
"LZ","15.15"
"M","90.5"
"MN","2548.5"
"MO","115"
"MP","225"
"MQ","2788.5"
"MR","13.35"
"MS","2024"
"MT","216"
"MU","18.05"
"MV","1976.5"
"MW","84"
"MX","1956.5"
"MY","84.5"
"MZ","2644"
"N","94.5"
"NO","4323.5"
"NP","359"
"NQ","212"
"NR","3370.5"
"NS","304.5"
"NT","402.5"
"NU","2219.5"
"NV","20.2"
"NW","2042.5"
"NX","3526"
"NY","3220.5"
"NZ","1971.5"
"O","(47)"
"OP","198.5"
"OQ","4696"
"OR","310"
"OS","113"
"OT","18.2"
"OU","2035"
"OV","3540.5"
"OW","2872.5"
"OX","14"
"OY","2771"
"OZ","127.5"
"P","(46)"
"PQ","2336"
"PR","111.5"
"PS","3533.5"
"PT","14.9"
"PU","4809.5"
"PV","12.9"
"PW","4490"
"PX","395.5"
"PY","206.5"
"PZ","2116"
"Q","(48)"
"QR","2161"
"QS","2180"
"QT","2377"
"QU","355.5"
"QV","92.5"
"QW","2964.5"
"QX","2241"
"QY","9.75"
"QZ","21.1"
"R","(40)"
"RS","16.3"
"RT","15.55"
"RU","16.55"
"RV","4762.5"
"RW","4143"
"RX","3782"
"RY","3964"
"RZ","16.95"
"S","(37)"
"ST","16.35"
"SU","1882.5"
"SV","334"
"SW","4974.5"
"SX","112.5"
"SY","133.5"
"SZ","3161.5"
"T","(34)"
"TU","4196"
"TV","4115.5"
"TW","1740"
"TX","2507.5"
"TY","190"
"TZ","3442.5"
"U","(91)"
"UV","321"
"UW","3140.5"
"UX","3936.5"
"UY","1991"
"UZ","2636.5"
"V","2.5"
"VW","18.25"
"VX","79"
"VY","2633.5"
"VZ","90"
"W","14.5"
"WX","4078"
"WY","2929.5"
"WZ","12"
"X","123.5"
"XY","3855"
"XZ","167"
"Y","76.5"
"YZ","148"
"Z","5"
