"","values.global_bins."
"RU","367455.5"
"RV","72582.5"
"RW","71158"
"RX","150521.5"
"RY","133279.5"
"RZ","401679.5"
"S","239800"
"ST","1889"
"SU","133042"
"SV","26185.5"
"SW","5894.5"
"SX","197296.5"
"SY","59.5"
"SZ","204110"
"T","(4)"
"TU","3844"
"TV","2193"
"TW","175962"
"TX","527075"
"TY","103666"
"TZ","1732"
"U","(15)"
"UV","89200"
"UW","5394"
"UX","49.5"
"UY","124314.5"
"UZ","81727"
"V","29.5"
"VW","3280"
"VX","99805.5"
"VY","249267"
"VZ","181755"
"W","(11)"
"WX","88632.5"
"WY","221244"
"WZ","5326"
"X","(14)"
"XY","89429.5"
"XZ","8774"
"Y","264019.5"
"YZ","3796"
"Z","33"
