"","matrix.ncol...1..nrow...1000."
"421","8S1,7Y1,7Y1"
"422","9A1,8I1,1HT1"
"423","8S0,11AGP0,1DV0,14BP0,4AI0,12NP0,13EP0"
"424","11G0,4CL0,2Q0,1HQ0,7AY0,3AGQ0"
"425","7AY0,11NZ0,14BP0,1ES0,12GY0,4AI0,2Q0"
"426","6Q0,7S0,14BP0,4AV0,4AV0"
"427","4AI0,11AGR0,13CY0,7AY0,2AB0,8I0,12AGS0,4AI0,7AY0"
"428","11G0,1IM0,8I0,9Q0,7V0,3AGT0,8I0"
"429","8Q0,11CI0,4AT0,12MN0,14BP0,4AT0,2Q0,13AGU0,7AT0,13E0"
"430","8A0,11AGV0,7BS0,14BP0,14BP0,3AGW1,2Q0"
"431","8S0,11P0,4AI0,9Q0,1HQ0,3AGX1,13AGY1"
"432","8Q0,11CI0,7AY0,4AI0,12AGZ0,13U0"
"433","11G0,7AY0,8I0,1HQ0,13AH0,6AB0"
"434","5JU1,8I1,14BP1,3AHI1,1DW1"
"435","8S1,4C1"
"436","7V1,8Q1,6Q1,1KY1,3AHJ1"
"437","8A0,11B0,12AU0,13BF0,7AT0,4AI0"
"438","6Q0,11FL0,4AI0,12JK0,7AY0,4AI0,7AY0"
"439","6I0,11AGI0,14BP0,4AF0,12AE0,7AF0,2Q0,13FT0"
"440","8A0,11FL0,4C0,13BF0,14BP0,3AHK1,7AT0"
"441","6Q0,11DH0,13EP0,7AF0"
"442","8AT0,11FK0,4CL0,14BP0,13E0,7O0,7O0"
"443","6Q0,11BR0,12FQ0,2Q0,6Q0,7AF0"
"444","8Q0,11CI0,7AF0,14BP0,4AI0"
"445","1ES0,4AV0,3AHL1,1DW0,8I0,7AT0,6AB0"
"446","7AT0,13AH0,11ADK0,1CY0,14BP0,8I0,4CL0,7AT0"
"447","6Q0,11CI0,14BP0,7V0,4C0,12GI0,3AHM0,7V0"
"448","8Q0,11B0,13E0,7AT0"
"449","8AT0,11AHN0,4CL0,3AHO1,7A0,9AB0,12AHP0,7A0"
"450","11G0,7AY0,14BP0,4AI0,8I0,12CF0,2AB0,7AY0,13AHQ0,1EF0,3AHR0,3AHS1"
"451","8Q0,4C0,7V0,11AHT0,2AB0,13AH0,12AFP0,7V0,8Q0"
"452","11ADL1,1AHU1,8I1,1BV0"
"453","8A0,11AHV0,4AI0,12AHW0,13BV0,7AF0"
"454","8A0,11AD0,13FT0,3AHX1,12LU0,1DL0,11AHY0,4AI0"
"455","6Q0,4AV0,11AHZ0,12AIJ0,7Q0,4AV0,2Q0"
"456","8Q0,11DM0,13FM0,4AI0,7V0,4AI0"
"457","8AT0,11W0,7AT0,4C0,6Q0,13AIK0,4C0,3AIL0,9Q0"
"458","8Q0,11B0,13AH0,7A0,12ABZ0,1EF0,4AI0"
"459","8AT0,11B0,14BP0,4CL0,1BJ0"
"460","6Q0,11JZ0,4Q0,11B0,3AIM0,2Q0,7AF0,13U0"
"461","8A0,11AD0,12HW0,13FM0,3AIN1,11CV0,4CL0"
"462","6Q0,11FL0,7S0,1AIO0,7S0"
"463","11HK0,13U0,4AI0,7AY0,12GY0,3AIP1,2AB0"
"464","7A0,11P0,4CL0,7A0,2Q0,13KY0,3AIQ0"
"465","8Q0,11AD0,7AF0,1DR0,3AIR1,14V0,13CH0,3AIS0"
"466","6Q0,11HM0,7Y0,14BP0,9Q0,13DL0"
"467","8A0,11B0,4C0,14BP0,12GI0,13BV0,1FT0,13BW0"
"468","8AT0,11JZ0,4CL0,14BP0,7AI0,2Q0,7AI0"
"469","11WX0,4CL0,13BJ0,7Q0,2Q0,12IJ0,3AIT1,1AIO0,4CL0,1AIU0"
"470","8Q0,11B0,5JU0,12AU0,4AI0,2AB0,6S0"
"471","8Q0,11AD0,1FM0,7AF0,6I0"
"472","8Q0,11HV0,4AF0,12AIV0,1KV0,6AT0"
"473","6Q0,11W0,12AIW0,1BJ0,9Q0,8A0"
"474","8I1,7V1,1IM1,4CL1"
"475","6I0,11B0,14BP0,4AI0,1CN0"
"476","8A0,11CI0,7A0,3AIX1,1BW0,3AIY0"
"477","4C1,6AB1,3AIZ0,7V1,13KS0,3AJK1"
"478","11ADK1"
"479","11B1,1HJ0"
"480","8A0,11B0,13AG0,4CL0,12SW0,14BP0,1BJ0"
"481","8I1,7BS1,4CL1,7BS1,1CN0,1CY0"
"482","13DL1,13ACO0"
"483","8S0,11P0,7Y0,1CP0"
"484","7Q1,8I1,4C1,2Q1,1FG1,13DR0,3AJL1"
"485","6I0,11AJM0,4CL0,13U0,12AJN0,2Q0,4CL0"
"486","11NS0,4AI0,12MQ0,1HQ0,7AT0,14BP0,7AT0"
"487","11P0,13BJ0,8I0,4Y0,7V0,14BP0,2O0,2O0,7V0"
"488","8Q0,11AD0,4A0,14CS0,12CT0,7AV0,13E0"
"489","6Q0,11FK0,4AI0,14BP0,7AV0,1AIO0,3AJO1,3AJP0,7AV0"
"490","7AF0,12AGS0,1BW0,14BP0,11G0,2Q0,13ACO0,7AF0,1CE0"
"491","8S1,4AV1,3AJQ1"
"492","11P1,1AJR1,1RY0"
"493","7BS0,4AB0,11G0,7BS0,4AB0,3AJS0"
"494","8A0,11JZ0,4AT0,3AJT1,4AT0,6O0,7C0"
"495","6S0,7AT0,11AD0,14BP0,3AJU1,4AF0,13E0,1HQ0"
"496","8A0,11JZ0,7S0,1AJV0,6Q0"
"497","7AY0,13CE0,2Q0,1FI0,8I0,4CL0,11AGP0,2Q0,7AY0"
"498","8AT0,11AD0,13AG0,4V0,6Q0,2Q0,7V0"
"499","8Q0,11CR0,7O0,12CU0,1AP0,4CL0,7O0"
"500","6Q0,11AJW0,4AI0,12M0,7AY0"
"501","1GW0,14BP0,11AJX0,2Q0,3AJY0,11AJZ0,7Y0"
"502","6Q0,11CI0,4AI0,12M0,14BP0,1BI0,13AKL0,6Q0,4AI0,2Q0"
"503","8S0,11W0,4I0,13BF0,7AF0"
"504","7AI0,1DV0,8I0,13TV0,12IJ0,14BP0,2AB0,3AKM1"
"505","6Q0,11W0,12AEY0,13E0,14BP0,2Q0,7O0,2Q0"
"506","6Q0,11GU0,12CT0,13U0,11AKN0,3AKO1,7AT0"
"507","8A0,11AD0,12AKP0,3AKQ1,4CL0,14BP0,9Q0,2O0,1CH0,13HT1"
"508","8Q0,4AI0,11IR0,13AH0,14BP0,4AI0"
"509","8Q0,11AD0,7A0,1AKR0,13BF0,4A0"
"510","8S0,11HV0,4AI0,4AI0,3AKQ1,14BP0,3AKS1"
"511","2A1,4AF1,7AT1"
"512","6Q0,11AKT0,4A0,7AV0,13AKU0,2Q0,13IY0"
"513","11ABU0,7AV0,13BW0,1CY0,12FY0,2Q0,3AKV1,13FT0,7AV0"
"514","8S0,11AD0,4AI0,13AKW1,7BS0,3AKX0"
"515","7AF0,8I0,11AKY0,14MU0,13CY0,1BV0,1FM0"
"516","6Q0,11AEF0,7AY0,4C0,3AKZ1,7AY0,1BW0"
"517","4C1,8I1,7Y1,14BP1,3ALM1"
"518","7V1,1N1,3ALN1,6AB1,3ALO0,4CL1"
"519","6Q0,11AZ0,13CY0,4AI0,12AU0,2Q0"
"520","13GH1,1KV1,1AJV0"
"521","8AT0,11ALP0,13E0,3ALQ0,12AE0,4AI0,14BP0"
"522","11ALR0,4Y0,11ALS1,3ALT1"
"523","8Q0,11AD0,7AF0,12AW0,4S0"
"524","6S0,11AD0,12LN0,4AI0,7AT0,12AHP0,1BV0,13BW0"
"525","6I0,11AZ0,4Y0,13CY0,12M0,7Q0,4Y0"
"526","8AT0,11P0,4AI0,7AT0,2Q0,6Q0,13ALU0,2Q0"
"527","5ALV0,11G0,7V0,14BP0,3ALW0,4AI0,12RT0,3ALX0,7V0,7V0"
"528","8AT0,11AD0,5FU0,7Y0,1CY0"
"529","12X1,7AT1"
"530","8A0,11AZ0,4V0,12GI0,3ALY1,7V0"
"531","8S1,7Q1,4C1,3ALZ1"
"532","6I0,11CI0,7Y0,7Y0,1EF0"
"533","8A0,11RX0,4C0,13BW0,12GI0,11B0,1GL0,4C0,9Q0,3AMN0"
"534","4CL0,1CQ0,11AMO0,2O0,7AT0"
"535","8I1,7Y1,3AMP0,3AMQ1"
"536","4AI0,11P0,7AT0,2Q0,3AMR1,13U0,4AI0"
"537","1CP0,11DM0,8I0,7AV0,3AMS1,1GW0"
"538","8A0,11B0,4C0,7BS0,7BS0,2O0"
"539","8AT0,11AZ0,4CL0,7Y0,1AP0"
"540","8A0,11CI0,12CJ0,4CL0,7A0,3AMT1"
"541","8AT0,11SX0,12MN0,13BW0,4A0,3AMU1,4A0,7AF0"
"542","12X1,1HT1,7AT1"
"543","8A0,11AD0,7V0,4C0,11CV0,6I0,3AMV0,3AMW1,3AMX0"
"544","4S1,7AY1,10A1,1GL0,3AMY1,3AMZ0"
"545","11G1"
"546","8AT0,11ACD0,3ANO1,12AU0,4C0,14BP0,13ANP0,7A0"
"547","8AT0,11AHT0,4AI0,1CN0,12AU0,14BP0,13ACO0,4AI0,2Q0"
"548","4AY1,1CP1,7V1,8I1,2O1"
"549","8A0,7BS0,9Q0,11DU0,13AEP0,6Q0,3ANQ1,7BS0"
"550","8A0,11AD0,12AE0,13LZ0,11B0,2Q0,9Q0,1BW0,3ANR1"
"551","6Q0,11ABQ0,4C0,13ANS0,12ANT0,14BP0,13CH0,3ANU0,6Q0,4C0"
"552","6Q0,11B0,4CL0,13GH0,12AJN0,14BP0,3ANV1,3OT0,1IN0,7A0"
"553","6I0,11CI0,13AG0,7AF0,13E0,4S0"
"554","7AF0,11OV0,12ANW0,7AF0,14BP0,12AGS0,6AB0,4O0"
"555","8A0,11DU0,4AV0,13FT0,6Q0"
"556","11G0,8Q0,12AE0,13CY0,4AI0,7A0"
"557","5JU1,6AB1,1LX0,13U0"
"558","4AI0,11HK0,8A0,13E0,9I0"
"559","8A0,11CR0,4AI0,4AI0,3ANX0,7Q0,13FM0"
"560","6Q0,11EU0,12FQ0,13UZ0,4I0,1CN0,7AF0"
"561","8A0,11ABC0,7V0,4Y0,12ANY0,13ANZ0,12AOP0,1BV0,3AOQ1,1FT1"
"562","8A0,11B0,13U0,7AT0"
"563","4AI0,11G0,1DV0,2Q0,8I0,14BP0,7O0"
"564","6Q0,11HR0,7V0,14BP0,1AOR0,3AOS0,3AOT1,1BJ0"
"565","8AT0,11JZ0,7AF0,4C0,13BI0,7AF0"
"566","6Q0,11CR0,7O0,1AKR0,4AI0,7O0,6Q0"
"567","4AI0,11WX0,1IM0,6AB0,7AY0,7AY0,13BW0"
"568","11G0,4AI0,13BW0,12RT0,8I0,13ES0,14BP0"
"569","11P0,7Y0,7Y0,3AOU0"
"570","11AOV1,4AY1"
"571","8AT0,11B0,1HQ0,13BI0,13LZ0,7Y0"
"572","8A0,11DX0,4A0,14BP0,7AF0,6O0,2Q0,13CY0"
"573","8Q0,11FK0,12GI0,4O0,7C0,2Q0"
"574","1DW0,11ACG0,14BP0,7AY0,4AF0,13BV0"
"575","8Q0,11AD0,7O0,1AOW0,3AOX1,12AOY0,6AT0,13AKU0,11B0,3AOZ1,2Q0,13CY0"
"576","6Q0,11B0,4AI0,13NY0,7S0,12M0"
"577","8I1,7Y1,4AI1,2Q1,1DG1,9Q1,3APQ1,3APR0"
"578","7Y0,11G0,1FT0,8I0,14BP0,11NQ0,13FR0,4AI0,2O0,13AEP0,7Y0,1H0"
"579","8I1,7Q1,4CL1,1BV0,1AFX1,13IM1"
"580","8I1,4C1,7Y1,1CQ1"
"581","6Q0,11W0,14BP0,7AF0,4CL0,6Q0"
"582","8Q0,4I0,4I0,3APS1,13APT0,4I0"
"583","11WX1"
"584","6AB1,4C1,9AB1,1CQ1,2Q1"
"585","7AT0,11G0,12X0,3APU0,13BJ1"
"586","6Q0,11AD0,4AI0,7AF0,6Q0,4AI0"
"587","6Q0,11B0,12GI0,1DW0,7O0"
"588","11G1"
"589","4Q0,11TZ0,4Q0,1AN0"
"590","5JU1,6AB1,7V1,13CH1"
"591","6I0,11AHY0,7AT0,14BP0,7AT0"
"592","7AT0,11G0,13BF0,4AI0,8I0,7AT0,3APV0,2Q0,4AI0,11CZ0,1EF0,3APW0,1AJ1"
"593","6Q0,11AD0,4CL0,14BP0,13FT0"
"594","11G1,3APX1,1GX0"
"595","11G0,1IM0,8I0,4CL0,14BP0,6AB0,7AT0,14BP0,4CL0"
"596","4V1,6S1,13IM1,7V1,14BP1,8A1,3APY1"
"597","8Q0,11AD0,13CE0,4AI0,12ABH0,3APZ1,1BV0"
"598","7AT0,11G0,13JS0,8I0"
"599","7BS1,2AV1"
"600","8AT0,11B0,7AF0,3AQR1,3AQS1"
"601","6Q0,11AD0,4AI0,4AI0,11HR0,7Q0,1CN0"
"602","14AQT1"
"603","6S0,11L0,4CL0,4CL0,2AV0,13ANZ0,1BV0"
"604","8AT0,11W0,7AV0,13AJV0,13FT0"
"605","8Q0,11AD0,4CL0,1AQU0,7A0"
"606","11P0,1K0,2Q0,14BP0,7AT0,4AI0,3AQV0"
"607","4S0,11HK0,13ES0,8I0,7AT0,2Q0"
"608","8I1,7AV1,4AI1,7AV1,3AQW1,3AQX0"
"609","4AB1,6AB1,7O1,14BP1,2O1"
"610","8A0,11NZ0,7Y0,4Y0,13BI0,9Q0,4Y0,8A0"
"611","8A0,12GI0,4CL0,14BP0,7V0,11DU0,1CH0,4CL0"
"612","6Q0,11DU0,12CT0,4Y0,1CY0"
"613","6Q0,11RX0,4CL0,14BP0,6Q0,12AQY0,3AQZ0,10I0"
"614","11ARS1,3ART0"
"615","1CQ0,11RX0,12ARU0,7AY0,7AY0"
"616","8I1,9AB1,4AI1,1FG1,13ES1"
"617","8A0,11KU0,7AV0,1AOW0,4O0,1DL0"
"618","6I0,11CI0,12HW0,4CL0,1AG0,4CL0,9Q0,13N0"
"619","6Q0,11AD0,14BP0,4A0,13AG0,2O0,7S0,1CY0"
"620","8I1,7Q1,14BP1,1CP1,1DW0,3ARV1"
"621","2S1,13FM1,3ARW1"
"622","8AT0,11CR0,14BP0,13BI0,12ARX0,7Y0,1AN0,4AI0,7Y0"
"623","8AT0,11AD0,13BV0,12BO0,4AB0,7AF0,2Q0"
"624","7A0,11P0,1IM0,12FY0,13BF0,2Q0"
"625","8A0,11CM0,12UY0,7AT0,4AI0,1BJ0,13E0"
"626","8A0,11CV0,4AI0,14BP0,4AI0,12BO0,13KS0,7Q0"
"627","6Q0,11W0,12ABI0,7AI0,2AB0"
"628","14ARY1,1ARZ1"
"629","8I1,2O1,7AT1,4AI1,13NU1"
"630","6S0,11JZ0,4CL0,11HR0,4CL0,6S0,2AB0,3AST1,7Q0"
"631","8AT0,11HR0,4A0,12PV0,7A0"
"632","6I0,11FK0,4AI0,13U0,2Q0,3ASU1"
"633","11G0,8S0,11W0,2AB0,14BP0,1FI0,7V0,4C0,13EL0,14BP0,13ACT1"
"634","6Q0,11CV0,12LU0,13E0,4Y0,1CE0,4Y0,13EP0"
"635","8AB0,11AZ0,4AI0,14BP0,2Q0,13CH0,6Q0"
"636","7S0,12CF0,13BF0,11ASV0,2AB0,3ASW1,8I0,7S0"
"637","6Q0,11B0,5JU0,1H0,12AFP0"
"638","5BG0,11OV0,7V0,8I0,2Q0,12ASX0,3ASY0,4CL0"
"639","8AT0,11B0,4CL0,12M0,6Q0,1DL0,13E0"
"640","8A0,11RX0,13BJ0,4C0,7BS0"
"641","4Y1,13CH1,1CP1"
"642","12FY1,8I1,4Y1"
"643","8AT0,11B0,13FI0,7V0,3ASZ1,1DL0,3ATU1"
"644","8AT0,11CI0,12DP0,1DV0,4AI0,6Q0"
"645","8A0,11HM0,13CN0,5JU0,12GI0,7V0,2AB0"
"646","8Q0,11AD0,7Y0,7Y0,13EP0"
"647","8AT0,11B0,12SV0,13BJ0,2Q0,7O0,1N0"
"648","1K0,11G0,7AT0,8I0,14BP0,13ANZ0,4CL0,2O0"
"649","11ABY1"
"650","7Q1,4C1,13FM1,6I1,1BQ1"
"651","7AF0,11ADK0,4AB0,7AF0,12ATV0,2Q0,6AB0"
"652","8A0,11AHV0,4CL0,14BP0,7Y0,12AKP0,1DL0,7Y0,4CL0"
"653","11NS0,4AI0,13CE0,14BP0,7AT0,3ATW1,13BU1,8I0,13DV0,12ATX0"
"654","8AB0,11L0,5FU0,13QU0,7AF0,2Q0"
"655","11HK0,1KQ0,14BP0,7V0,14BP0,4C0,3ATY1"
"656","8Q0,11HR0,4CL0,13CY0,3ATZ0"
"657","5ALV0,7BS0,2Q0,3AUV1,11AUW0,14BP0,13N0,4AF0,3AUX0"
"658","8Q0,11HM0,4C0,2AB0,1HQ0,4C0"
"659","8Q0,11AUY0,13U0,7AF0"
"660","7AV0,11DO0,1K0,14BP0,13BF0,7AV0"
"661","6Q0,11AZ0,4AI0,1KQ0,13AJV0"
"662","6Q0,11AD0,13LZ0,14BP0,4CL0,1DR0"
"663","4C1,6AB1,7Q1,1GW1,1EL0,13KS0,3AUZ0"
"664","8A0,11W0,4AI0,12AU0,7AF0,13CY0,7AF0"
"665","4AI0,2Q0,11P0,7AT0,13AGU0,1CY0,3AVW0,7AT0,3AVX1,3AVY0"
"666","8A0,11B0,4C0,12CJ0,13CE0,7V0,3AVZ0,2Q0"
"667","8I1,7Q1,3AWX0,3AWY1,1CN0"
"668","11B1,4C1"
"669","8S0,11P0,4AI0,12CT0,7Y0,11NZ0,1BQ1,7Y0"
"670","8A0,11AHN0,4CL0,4CL0,13N0,2Q0,7AF0,7AF0"
"671","7AF0,11AWZ0,1DW0,8I0,13U0,3AXY1"
"672","6Q0,11CI0,7AF0,12AXZ0,4CL0,4CL0,13BW0"
"673","8A0,11CI0,4CL0,12AW0,7A0,13CY0,2Q0"
"674","7A0,1BQ0,3AYZ0,2Q0,13IY0,4AF0,7A0"
"675","6Q0,11AD0,12GI0,14BP0,7AF0,3BCD1,6Q0"
"676","5ALV0,11P0,2Q0,1DV0,7AT0,14BP0,13BJ0,14BP0,11ACJ0,3BCE0,3BCF0"
"677","8A0,11CR0,4CL0,1NO0,6Q0,3BCG1,4CL0"
"678","11G0,7V0,4C0,3BCH1,14BP0,13BCI1,7V0,1KV0,8I0"
"679","8Q0,11W0,12M0,14BP0,4AI0,6O0,1GR0"
"680","4C1,6AB1,7BS1"
"681","8AB0,11B0,14BP0,4CL0,4CL0,6Q0"
"682","11AOV0,7AY0,14BP0,7AY0,3BCJ1,1APT0"
"683","11OV1"
"684","8AT0,11HR0,4AF0,14BP0,13FT0,7BS0"
"685","8AT0,11NW0,4AB0,12SV0,7O0,9Q0"
"686","4C1,6AB1,7V1,3BCK1,1ANP0,1IM1,12BCL0"
"687","11OV1,7AY1"
"688","8AT0,11B0,5FU0,12GI0,13BW0,14BP0,7A0,1BN0"
"689","6Q0,11AD0,4A0,12ABI0,1AQU0,13AJV0,7AT0"
"690","11BCM0,13CY0,8I0,14BP0,7V0,4C0,1FM0,3BCN0,3BCO1,3BCP1"
"691","11P1,1AKL0,7Q1"
"692","8Q0,11FK0,4C0,12JK0,2Q0,14BP0,3BCQ1,7V0,3BCR0"
"693","4I0,11B0,12FY0,13FI0,14BP0,4I0"
"694","6Q0,11AD0,4AI0,14BP0,7AY0,12KT0,3BCS1,4AI0"
"695","8A0,11BCT0,4AI0,12AU0,13CY0,4AI0"
"696","6Q0,4AF0,11AD0,1BJ0,7AT0,4AF0"
"697","6AB1,7AY1,1BW1,4AI1,2Q1,3BCU0"
"698","6Q0,11AD0,12HZ0,13LZ0,12GI0,11B0,1BJ0,2AB0,7V0"
"699","8S1,2A1"
"700","8A0,11HV0,4AI0,14BP0,6Q0,13ANZ0,7S0"
"701","6Q0,11DH0,12CU0,4AI0,2Q0,7AF0,7AF0"
"702","8S1,7A1,1GL0,2AB1"
"703","8Q0,11HR0,13CE0,1AIO0,14ARY0,4AI0"
"704","4V1,8I1,13AGU0"
"705","3BCV1,3BCW0,4C1"
"706","6S0,11B0,4I0,7AF0,14BP0,13U0"
"707","8AB0,11B0,7AF0,1FI0"
"708","8S0,11B0,14AI0,1ES0,13BW0,4CL0"
"709","8A0,11AZ0,4C0,14BP0,7Y0,11B0,3BCX0,4C0,4C0"
"710","6Q0,11AD0,14BP0,13N0,1LZ0,12BCY0,7AV0"
"711","8A0,11AD0,4CL0,12BO0,13E0,1EF0"
"712","6S0,11DU0,4Q0,4Q0,2Q0,7S0"
"713","8Q0,11AZ0,7AT0,14BP0,3BCZ1,4AI0,1EF0,8Q0"
"714","8S1,4AF1,7BS1,1CQ1,13N0"
"715","8A0,11AD0,4AI0,12ABZ0,7Y0,13BI0,6Q0,13FM0"
"716","8A0,11W0,7BS0,3BDE1,3BDF0,7BS0"
"717","8Q0,11CV0,1BJ0,3BDG1,4CL0,7A0"
"718","8I1,4C1,7Y1,2Q1,1FT1,3BDH1,2Q1"
"719","8A0,11EU0,4CL0,12AE0,4CL0,7BS0"
"720","8A0,11AD0,5JU0,4AF0,12BDI0,7AV0"
"721","4AF1,6AB1,7Q1,1IM1,3BDJ1,2Q1"
"722","5BG0,11BDK0,8I0,12FY0,2O0,7Q0,1AHU1"
"723","9AT1,1DV1"
"724","6I0,11EY0,12AE0,4CL0,2Q0,7A0,4CL0"
"725","11CV0,7S0,4AI0,13BDL0,14BP0,2O0,11BDM0,7S0,13GH0"
"726","8AT0,11KU0,4AB0,12ABO0,13U0,6Q0,7AV0"
"727","7BS1,1FM1"
"728","11WX0,7BS0,2S0,1CE0,3BDN1,7BS0,4C0"
"729","6Q0,11BDO0,4AI0,7Y0,6Q0,3BDP0"
"730","3BDQ0,7AY1,6AB1"
"731","8AB0,11HV0,13AH0,14BP0,1FT0"
"732","11ADU0,7AV0,13CE0,8I0,2Q0,7AV0,3BDR0,3BDS1"
"733","8A0,11DU0,13AJ0,4AI0,7AV0,13FT0"
"734","4Y1,7BS1,1HT1"
"735","12CF1,7Q1"
"736","6I0,11DH0,12HZ0,4AV0,7AT0,1BN0,1AJV0"
"737","8AT0,11MR0,7AF0,12AW0,13E0,1BI0,14BP0,3BDT0,4AI0"
"738","8Q0,11RX0,4A0,7S0,2O0,13CN0"
"739","8Q0,11BDU0,4AI0,13AH0,1DL0,14BP0,3BDV0,7A0"
"740","6Q0,11CI0,4A0,7Y0,2Q0,3BDW0"
"741","11NS1,4AI1"
"742","11BDX1,13AIU1,1HJ0"
"743","4C1,8I1,1KN1,13CQ1"
"744","8AT0,11CI0,4AI0,12BO0,4AI0,7AY0"
"745","8AT0,11ABY0,4AI0,13AH0,12AE0,13BDY1,4AI0"
"746","6I0,11L0,12KT0,13LZ0,4CL0,7Q0"
"747","8AT0,11B0,4CL0,2Q0,4CL0,13FM0"
"748","6Q0,11AZ0,1CY0,7S0"
"749","8S0,11DM0,14BDZ0,4AI0,1NO0,3BEF0,3BEG1,4AI0,7AF0"
"750","8A0,4AF0,11EY0,3BEH0,12AU0,5BG0,14BP0,7V0,13JU1"
"751","6AB1,4CL1,7AT1,3BEI1,1DL0,1ES1"
"752","7AY0,2Q0,11P0,13FI0,14BP0,7AY0,3BEJ1,8I0,4AI0"
"753","8I1,7AY1,13N1,1AIU1,9Q1,7AY1,3BEK0"
"754","8Q0,11B0,12UY0,13EL0,4AF0,2Q0,6Q0,3BEL0"
"755","6Q0,11FK0,13QU0,4Y0,1AP0,7V0,4Y0,8A0"
"756","8AT0,11AZ0,5BG0,12MN0,7BS0,3BEM0"
"757","8A0,11B0,4AI0,1H0,12AJN0,13BI0,6O0,7A0"
"758","11G0,1DW0,4AI0,12HP0,13QU0,14BP0,3BEN0,8I0,7Q0"
"759","12ADX1,7AY1,1DG1,2Q1,13BV0"
"760","8A0,11HM0,4AI0,2Q0,4AI0,7AF0"
"761","8Q0,11ABC0,4AI0,4AI0,6S0,7AV0,2Q0,13N0"
"762","8A0,11CI0,4CL0,12AU0,3BEO1,3BEP0,3BEQ1,13KN0"
"763","8AT0,5JU0,11B0,12AHW0,14BP0,13U0,6Q0"
"764","11NZ1,7A1,1FG1,2Q1"
"765","8AT0,11AD0,14BP0,1DL0,4CL0,13BI0,7O0"
"766","11G0,4AI0,13NO0,8I0,7Q0,3BER1,2O0,7Q0"
"767","11CV0,7AV0,13LZ0,8I0,14BP0,13BW0,4AI0,3BES0"
"768","8A0,11ABY0,12KZ0,7A0,11BET0,9Q0,14BP0,7A0"
"769","7V1,1IM1,3BEU1,8A1,9Q1,13JS1,3BEV1"
"770","6Q0,11BEW0,12SW0,14BP0,1CH0,11BEX0,4C0,2Q0"
"771","8A0,4AI0,11VY0,13AG0,7S0,2Q0,7S0"
"772","6Q0,11AD0,12M0,4A0,13FM0,5JU0,6Q0"
"773","7AT0,11ALR0,1BQ0,14BP0,2Q0,12BEY0,3BEZ0,7AT0,2Q0,8I0,7AT0"
"774","7V1,8I1,3BFG0,1CP1,4CL1,2Q1"
"775","8A0,11CR0,4C0,12BFH0,2AB0,6O0,3BFI1"
"776","11HK1,7AT1,2Q1,13BV0"
"777","8A0,11BFJ0,12AW0,13FT0,7V0,4CL0"
"778","8A0,11B0,4AI0,2AB0,7AF0"
"779","4C1,6AB1,13ES1,3BFK0,2Q1"
"780","11OV0,7AT0,1CE0,4C0,3BFL0,2Q0,13U0,4C0,7AT0"
"781","8AT0,11ABC0,4AI0,13U0,14BP0,3BFM1,4AI0,7AT0"
"782","5JU1,6O1,7V1,1FI1"
"783","8A0,11AD0,4AF0,2Q0,3BFN1,4AF0,14BP0,7A0,3BFO0,7A0"
"784","11G0,4AI0,7Y0,8I0,14BP0,13ACO0,2O0,1BJ1,4AI0,9Q0"
"785","6Q0,11L0,4C0,13E0,12CT0,13CY0,3BFP0"
"786","4V1,8AT1,1MV1,1BV0,2AV1,13BV0"
"787","6Q0,11W0,4AI0,14BP0,3BFQ1,13BV0,7AY0"
"788","6Q0,11AZ0,4AI0,13AEP0,7A0,13CH0"
"789","8I1,7AF1,1BV1,1EF0"
"790","8AT0,11AZ0,4C0,12JQ0,1K0,13ANZ0,6Q0,3BFR0"
"791","4C1,7Q1,1HQ1,6Q1,2Q1"
"792","6Q0,11AD0,7A0,13ANZ0,1AJ0,7A0"
"793","11BFS0,7S0,2Q0,12SV0,13BFT0,14MU0,11NQ0,13AFT0,13N0"
"794","11WX0,4A0,8I0,7Q0,2Q0,3BFU0,4A0,3BFV1"
"795","1DW0,8I0,12M0,14BP0,4CL0,11BFW0,13AFT0,9Q0,12FY0,13AGU0,1CP0"
"796","4AI0,11NZ0,1DW0,14BP0,7AV0,13BW0"
"797","6Q0,11FL0,13BJ0,12MY0,4CL0,7Y0"
"798","8A0,11HV0,4I0,12HW0,14BP0,13E0"
"799","8AT0,11CM0,14BP0,4A0"
"800","8I1,7S1,4CL1"
"801","8AT0,11GU0,12KT0,4C0,1DV0,14BP0"
"802","7Q1,6AB1,3BFX0"
"803","6Q0,11BFY0,12AW0,7AY0,11KU0,2Q0,4CL0"
"804","11P1"
"805","12BFZ1,7Y1,6AB1,4C1"
"806","8Q0,11AHT0,12CJ0,14BP0,2Q0,7AF0"
"807","4C1,6AB1,7Q1,13BF1,3BGH0"
"808","8Q0,11FL0,12CT0,5ALV0,7O0,3BGI0,7O0"
"809","8Q0,11AZ0,14BP0,4AF0,13IY0,12AE0,3BGJ1,4AF0,7A0"
"810","8I1,7AY1,3BGK0,3BGL1"
"811","8A0,11CM0,7A0,3BGM1,1AQU0,4AI0,13FO0"
"812","8A0,11FL0,4O0,13ANS0,7AV0,7AV0"
"813","14BGN1,7A1"
"814","1DV0,11G0,7AT0,3BGO0,1CQ0,4AI0"
"815","8I1,4C1,1MV1,7Y1,2Q1,14BP1,13CH0,7Y1"
"816","8S0,11AFI0,7AT0,3BGP1,14BP0,7AT0"
